Title,Genre,Director,Budget,Revenue,IMDB_Rating,Review
Movie 750,Thriller,Director A,92432960,127066529,4.5,Loved the characters and the storyline.
Movie 751,Action,Director D,9718915,67223613,6.1,A decent movie with good direction.
Movie 752,Romance,Director D,74660861,12308749,5.2,Amazing movie with great visuals and acting.
Movie 753,Thriller,Director D,61255505,244856928,5.1,"Not worth the time, poor screenplay."
Movie 754,Thriller,Director D,19369052,216482847,3.5,Amazing movie with great visuals and acting.
Movie 755,Thriller,Director B,71473096,31935709,8,Terrible plot and boring scenes.
Movie 756,Thriller,Director D,30400149,19419883,3.7,"Not worth the time, poor screenplay."
Movie 757,Drama,Director B,59087135,243221035,7.7,Amazing movie with great visuals and acting.
Movie 758,Comedy,Director C,20649258,296033311,4.1,Amazing movie with great visuals and acting.
Movie 759,Romance,Director D,41122472,175066891,3.9,Terrible plot and boring scenes.
Movie 760,Romance,Director C,39405590,276930791,9.1,Terrible plot and boring scenes.
Movie 761,Comedy,Director C,21879050,298195831,5.8,"Not worth the time, poor screenplay."
Movie 762,Horror,Director B,3655184,48198055,3.9,Terrible plot and boring scenes.
Movie 763,Horror,Director D,68591968,22391403,6.1,Loved the characters and the storyline.
Movie 764,Thriller,Director B,6199615,102612386,8.5,Terrible plot and boring scenes.
Movie 765,Comedy,Director B,85333582,120071605,5,A decent movie with good direction.
Movie 766,Thriller,Director B,96692535,282720599,8,Loved the characters and the storyline.
Movie 767,Comedy,Director D,55218211,69686139,8.4,Loved the characters and the storyline.
Movie 768,Horror,Director C,68621364,292518104,9.2,A decent movie with good direction.
Movie 769,Romance,Director A,20412488,261911951,9.3,Terrible plot and boring scenes.
Movie 770,Action,Director D,37467575,29210902,6.5,Terrible plot and boring scenes.
Movie 771,Horror,Director D,37390702,101793236,6.3,"Not worth the time, poor screenplay."
Movie 772,Comedy,Director D,53370546,236723806,4.5,Amazing movie with great visuals and acting.
Movie 773,Thriller,Director D,33799399,110250967,5.7,Loved the characters and the storyline.
Movie 774,Thriller,Director A,89255683,10984007,7.1,"Not worth the time, poor screenplay."
Movie 775,Action,Director C,86893722,73250909,8.4,A decent movie with good direction.
Movie 776,Action,Director A,30518136,38286846,5.1,Amazing movie with great visuals and acting.
Movie 777,Horror,Director B,96677705,84272624,4.5,A decent movie with good direction.
Movie 778,Comedy,Director C,41418969,7273909,9.4,Terrible plot and boring scenes.
Movie 779,Romance,Director A,32132384,171579367,5.1,Amazing movie with great visuals and acting.
Movie 780,Horror,Director C,24557537,271253483,6.8,Loved the characters and the storyline.
Movie 781,Thriller,Director B,84903067,31659216,6.1,A decent movie with good direction.
Movie 782,Action,Director D,67281854,211500114,9.2,Loved the characters and the storyline.
Movie 783,Action,Director C,34230635,76420946,6.5,A decent movie with good direction.
Movie 784,Horror,Director C,90889479,262528534,6.3,Amazing movie with great visuals and acting.
Movie 785,Drama,Director A,8448273,137202961,8.7,Terrible plot and boring scenes.
Movie 786,Romance,Director A,56585535,111854796,6.7,Amazing movie with great visuals and acting.
Movie 787,Romance,Director D,60547192,271968922,4.5,"Not worth the time, poor screenplay."
Movie 788,Action,Director C,34088313,65826048,7.6,A decent movie with good direction.
Movie 789,Comedy,Director C,59211567,116753633,3.6,Loved the characters and the storyline.
Movie 790,Horror,Director C,68218922,298594207,6.7,A decent movie with good direction.
Movie 791,Horror,Director D,81542622,143727851,4.7,Amazing movie with great visuals and acting.
Movie 792,Comedy,Director D,37046633,78138850,6.2,A decent movie with good direction.
Movie 793,Horror,Director C,45917320,85371662,7.3,A decent movie with good direction.
Movie 794,Comedy,Director A,49920488,19223378,4.4,Terrible plot and boring scenes.
Movie 795,Thriller,Director D,48631217,109957071,3.7,Loved the characters and the storyline.
Movie 796,Thriller,Director C,85113322,276008827,4.6,Loved the characters and the storyline.
Movie 797,Romance,Director B,35424191,149593031,8.1,A decent movie with good direction.
Movie 798,Thriller,Director D,43725559,215792450,5.8,A decent movie with good direction.
Movie 799,Comedy,Director B,1667159,110116349,8,"Not worth the time, poor screenplay."
Movie 800,Romance,Director C,77409237,81018993,6,Terrible plot and boring scenes.
Movie 801,Comedy,Director B,1712901,133853805,3.7,A decent movie with good direction.
Movie 802,Thriller,Director D,90578480,59522695,5.5,Terrible plot and boring scenes.
Movie 803,Horror,Director A,23839138,125208993,9.2,"Not worth the time, poor screenplay."
Movie 804,Romance,Director D,41372251,94579775,6.4,"Not worth the time, poor screenplay."
Movie 805,Romance,Director B,46134823,218321561,7.4,A decent movie with good direction.
Movie 806,Comedy,Director D,82502611,287205672,8,Loved the characters and the storyline.
Movie 807,Romance,Director D,44222996,172329608,6.9,A decent movie with good direction.
Movie 808,Action,Director A,45536052,175159428,9.5,A decent movie with good direction.
Movie 809,Action,Director D,17751578,49447230,7.8,"Not worth the time, poor screenplay."
Movie 810,Romance,Director A,53845679,9400730,6.5,Terrible plot and boring scenes.
Movie 811,Romance,Director C,53225008,242113095,8.4,Amazing movie with great visuals and acting.
Movie 812,Romance,Director D,65980748,163495207,6.6,Loved the characters and the storyline.
Movie 813,Comedy,Director D,14077682,283837754,5.2,Amazing movie with great visuals and acting.
Movie 814,Romance,Director D,29824247,198327656,6.6,Terrible plot and boring scenes.
Movie 815,Drama,Director B,57472527,50896974,4.9,"Not worth the time, poor screenplay."
Movie 816,Action,Director D,17372329,51863230,4.6,A decent movie with good direction.
Movie 817,Comedy,Director D,82678304,229257940,8.8,Terrible plot and boring scenes.
Movie 818,Horror,Director B,40019187,190835751,5.9,Terrible plot and boring scenes.
Movie 819,Romance,Director D,51804154,247528714,4.4,Loved the characters and the storyline.
Movie 820,Romance,Director A,79889618,208694308,6.3,Loved the characters and the storyline.
Movie 821,Action,Director A,72968665,228003011,4,Loved the characters and the storyline.
Movie 822,Comedy,Director B,43806599,77209142,7.5,Amazing movie with great visuals and acting.
Movie 823,Action,Director A,31112682,134553188,8.3,Amazing movie with great visuals and acting.
Movie 824,Romance,Director C,59451976,8945766,6.4,Loved the characters and the storyline.
Movie 825,Comedy,Director B,52659155,137924838,8.6,Loved the characters and the storyline.
Movie 826,Drama,Director A,18837436,290239258,6,Amazing movie with great visuals and acting.
Movie 827,Action,Director B,77249401,56787790,6.8,Amazing movie with great visuals and acting.
Movie 828,Thriller,Director D,62462996,165989141,6.4,A decent movie with good direction.
Movie 829,Romance,Director B,1785163,76163866,5,Terrible plot and boring scenes.
Movie 830,Horror,Director C,50393126,116609453,5.9,"Not worth the time, poor screenplay."
Movie 831,Horror,Director A,79763354,19142386,7.6,A decent movie with good direction.
Movie 832,Romance,Director D,95792673,227771101,8.9,Terrible plot and boring scenes.
Movie 833,Action,Director A,86384910,12803611,4.7,Amazing movie with great visuals and acting.
Movie 834,Drama,Director A,14560081,108073669,7.3,"Not worth the time, poor screenplay."
Movie 835,Comedy,Director B,30554641,35187316,3.8,Terrible plot and boring scenes.
Movie 836,Comedy,Director A,67704429,70409091,7.2,Amazing movie with great visuals and acting.
Movie 837,Thriller,Director D,60866670,239619247,5.3,Terrible plot and boring scenes.
Movie 838,Action,Director D,56817039,72306973,9,Loved the characters and the storyline.
Movie 839,Drama,Director A,39417966,196171768,7.5,"Not worth the time, poor screenplay."
Movie 840,Comedy,Director D,57363927,204651436,6.1,"Not worth the time, poor screenplay."
Movie 841,Romance,Director B,81521902,21366421,4.3,"Not worth the time, poor screenplay."
Movie 842,Horror,Director D,88876297,240863474,5,"Not worth the time, poor screenplay."
Movie 843,Thriller,Director D,74477036,54443255,9.3,A decent movie with good direction.
Movie 844,Thriller,Director A,25679921,35459754,6.9,A decent movie with good direction.
Movie 845,Drama,Director D,81814897,233449486,9.3,Terrible plot and boring scenes.
Movie 846,Action,Director D,5555016,265489275,7.8,A decent movie with good direction.
Movie 847,Thriller,Director B,20868680,57255345,6.6,"Not worth the time, poor screenplay."
Movie 848,Drama,Director D,39574206,116330940,7.4,"Not worth the time, poor screenplay."
Movie 849,Drama,Director D,18676398,267396331,8.9,Loved the characters and the storyline.
Movie 850,Action,Director A,51440697,94335090,9.1,Loved the characters and the storyline.
Movie 851,Horror,Director D,61056295,80789424,5.1,A decent movie with good direction.
Movie 852,Thriller,Director A,44643894,102518447,7.6,Loved the characters and the storyline.
Movie 853,Romance,Director B,12066287,44135996,8.6,"Not worth the time, poor screenplay."
Movie 854,Romance,Director C,14816453,68937463,6.4,A decent movie with good direction.
Movie 855,Comedy,Director D,65078697,24744124,6.3,Terrible plot and boring scenes.
Movie 856,Comedy,Director A,41566344,72340004,3.8,"Not worth the time, poor screenplay."
Movie 857,Horror,Director D,46979372,123506529,7.1,Terrible plot and boring scenes.
Movie 858,Thriller,Director D,36435774,175168804,5.3,"Not worth the time, poor screenplay."
Movie 859,Drama,Director B,24508494,269390594,8.1,Terrible plot and boring scenes.
Movie 860,Horror,Director B,90150634,34292338,7,Amazing movie with great visuals and acting.
Movie 861,Comedy,Director C,88609397,194967689,7.7,Amazing movie with great visuals and acting.
Movie 862,Drama,Director B,81632420,118072342,8.6,Amazing movie with great visuals and acting.
Movie 863,Action,Director D,77445817,280957242,3.6,"Not worth the time, poor screenplay."
Movie 864,Thriller,Director C,38579810,108117338,7.2,Amazing movie with great visuals and acting.
Movie 865,Comedy,Director C,56720779,48948033,5.5,Amazing movie with great visuals and acting.
Movie 866,Romance,Director C,83499356,37178622,7.3,Terrible plot and boring scenes.
Movie 867,Comedy,Director B,17078317,30102016,6.7,Terrible plot and boring scenes.
Movie 868,Drama,Director A,91942536,4348745,8.1,Loved the characters and the storyline.
Movie 869,Romance,Director B,66420620,188572371,5.2,A decent movie with good direction.
Movie 870,Drama,Director C,33051537,108811982,5.9,Loved the characters and the storyline.
Movie 871,Action,Director A,82833986,181032126,8.9,"Not worth the time, poor screenplay."
Movie 872,Action,Director C,26679436,78674456,3.8,Amazing movie with great visuals and acting.
Movie 873,Action,Director A,1692934,280623204,8.7,"Not worth the time, poor screenplay."
Movie 874,Action,Director A,54307421,272450351,7.4,"Not worth the time, poor screenplay."
Movie 875,Romance,Director A,93507973,216846243,4.6,Terrible plot and boring scenes.
Movie 876,Romance,Director B,91935370,232892031,5.8,Amazing movie with great visuals and acting.
Movie 877,Thriller,Director B,49829783,129635561,7.4,"Not worth the time, poor screenplay."
Movie 878,Comedy,Director D,25092554,216036417,7.3,Terrible plot and boring scenes.
Movie 879,Action,Director A,81975152,117702112,8.8,A decent movie with good direction.
Movie 880,Drama,Director C,49548485,76282477,4.7,Loved the characters and the storyline.
Movie 881,Action,Director C,62518687,126133176,9.3,Terrible plot and boring scenes.
Movie 882,Thriller,Director C,73136102,257172949,6.7,Loved the characters and the storyline.
Movie 883,Drama,Director C,80905673,108096971,4,Terrible plot and boring scenes.
Movie 884,Romance,Director D,55171693,234868197,4.7,Amazing movie with great visuals and acting.
Movie 885,Drama,Director A,12343578,191411123,7.8,Amazing movie with great visuals and acting.
Movie 886,Drama,Director D,80589312,179898810,5.9,A decent movie with good direction.
Movie 887,Horror,Director A,94563562,293172498,5.1,Loved the characters and the storyline.
Movie 888,Comedy,Director B,15408485,197499003,3.9,Loved the characters and the storyline.
Movie 889,Thriller,Director B,63512989,103790972,5.2,A decent movie with good direction.
Movie 890,Horror,Director C,62132537,16525354,4.7,Terrible plot and boring scenes.
Movie 891,Thriller,Director D,62257056,96094337,7.8,Amazing movie with great visuals and acting.
Movie 892,Thriller,Director D,72393380,200721001,4.8,Terrible plot and boring scenes.
Movie 893,Action,Director D,24345793,122845395,5.1,Loved the characters and the storyline.
Movie 894,Action,Director A,70208820,152649676,5,Terrible plot and boring scenes.
Movie 895,Romance,Director B,84326898,183080210,7.7,A decent movie with good direction.
Movie 896,Horror,Director B,57712805,54816326,5.3,"Not worth the time, poor screenplay."
Movie 897,Horror,Director C,13583381,146789193,8.5,Terrible plot and boring scenes.
Movie 898,Horror,Director B,31873303,28188618,7,A decent movie with good direction.
Movie 899,Romance,Director B,91366420,207828189,8.3,A decent movie with good direction.
Movie 900,Drama,Director B,62724734,109310391,5,Loved the characters and the storyline.
Movie 901,Thriller,Director A,41830548,89622357,6.9,Terrible plot and boring scenes.
Movie 902,Horror,Director C,9939607,136348339,4,"Not worth the time, poor screenplay."
Movie 903,Drama,Director D,91920633,88088855,7.6,Amazing movie with great visuals and acting.
Movie 904,Comedy,Director A,99383567,121393670,4.4,"Not worth the time, poor screenplay."
Movie 905,Romance,Director B,69855721,20085050,6.9,Amazing movie with great visuals and acting.
Movie 906,Thriller,Director A,46693545,12631425,5.7,Terrible plot and boring scenes.
Movie 907,Thriller,Director A,94475309,47309740,7.9,Amazing movie with great visuals and acting.
Movie 908,Drama,Director A,52208496,229707856,6.6,"Not worth the time, poor screenplay."
Movie 909,Action,Director A,23938170,229060132,4,"Not worth the time, poor screenplay."
Movie 910,Comedy,Director C,67815754,149071427,5.5,Loved the characters and the storyline.
Movie 911,Drama,Director A,64811150,232191075,8.2,Loved the characters and the storyline.
Movie 912,Comedy,Director D,28032067,152665917,4.7,Loved the characters and the storyline.
Movie 913,Comedy,Director A,31977202,34328632,4.6,A decent movie with good direction.
Movie 914,Thriller,Director C,39385294,170331403,7.9,A decent movie with good direction.
Movie 915,Drama,Director D,97651471,78936892,4,A decent movie with good direction.
Movie 916,Horror,Director D,35436822,6392661,6.9,"Not worth the time, poor screenplay."
Movie 917,Action,Director B,14268072,95535594,9,Terrible plot and boring scenes.
Movie 918,Romance,Director A,37697064,276668587,6.1,Loved the characters and the storyline.
Movie 919,Comedy,Director B,12567395,32255914,9.4,Loved the characters and the storyline.
Movie 920,Action,Director B,1144136,10697213,7.2,Terrible plot and boring scenes.
Movie 921,Comedy,Director C,46059124,96326566,3.8,Loved the characters and the storyline.
Movie 922,Action,Director D,56980750,140262948,3.6,Loved the characters and the storyline.
Movie 923,Romance,Director B,75954918,60695990,9,A decent movie with good direction.
Movie 924,Action,Director C,94859655,39404752,4.2,Amazing movie with great visuals and acting.
Movie 925,Romance,Director B,43528107,116683338,8.2,"Not worth the time, poor screenplay."
Movie 926,Romance,Director B,24174998,208254662,9.5,"Not worth the time, poor screenplay."
Movie 927,Action,Director A,95491648,280574536,6.9,Terrible plot and boring scenes.
Movie 928,Drama,Director C,57384017,272697051,3.8,A decent movie with good direction.
Movie 929,Comedy,Director B,67971494,183345307,6.7,Terrible plot and boring scenes.
Movie 930,Horror,Director C,48011249,59784787,9.2,A decent movie with good direction.
Movie 931,Thriller,Director D,8344240,51606420,5.8,Terrible plot and boring scenes.
Movie 932,Romance,Director C,20403459,5616332,6.2,A decent movie with good direction.
Movie 933,Thriller,Director B,21014853,32337339,6,Terrible plot and boring scenes.
Movie 934,Action,Director B,85125554,193958678,3.8,"Not worth the time, poor screenplay."
Movie 935,Horror,Director B,33797550,133437085,3.8,"Not worth the time, poor screenplay."
Movie 936,Thriller,Director B,58246965,69665854,8.6,"Not worth the time, poor screenplay."
Movie 937,Horror,Director B,75518358,16379356,8.5,Amazing movie with great visuals and acting.
Movie 938,Comedy,Director C,25238770,296418568,7,"Not worth the time, poor screenplay."
Movie 939,Thriller,Director C,88182375,104589974,7.9,A decent movie with good direction.
Movie 940,Comedy,Director B,16818411,212510995,4.4,Terrible plot and boring scenes.
Movie 941,Comedy,Director D,36377960,237959502,4.6,Amazing movie with great visuals and acting.
Movie 942,Horror,Director B,95729640,124834225,9,Loved the characters and the storyline.
Movie 943,Drama,Director D,37701575,53631293,7.8,Loved the characters and the storyline.
Movie 944,Thriller,Director D,29761568,80837859,9.4,"Not worth the time, poor screenplay."
Movie 945,Action,Director A,82945859,129701952,5.3,Amazing movie with great visuals and acting.
Movie 946,Horror,Director D,36015845,21071956,7,Amazing movie with great visuals and acting.
Movie 947,Thriller,Director A,35325542,179429966,6.1,"Not worth the time, poor screenplay."
Movie 948,Drama,Director B,88401012,165644417,7.3,Loved the characters and the storyline.
Movie 949,Drama,Director D,49713491,100334420,3.6,"Not worth the time, poor screenplay."
Movie 950,Action,Director D,63022730,226431200,4.7,Terrible plot and boring scenes.
Movie 951,Romance,Director D,88484936,5775527,5.3,Terrible plot and boring scenes.
Movie 952,Thriller,Director B,28549992,187141142,7.5,A decent movie with good direction.
Movie 953,Comedy,Director A,42828834,48497278,4.8,Terrible plot and boring scenes.
Movie 954,Action,Director B,79254633,20714011,5.8,Loved the characters and the storyline.
Movie 955,Romance,Director C,91303592,178294193,7.4,Loved the characters and the storyline.
Movie 956,Romance,Director B,42602255,181130212,7.8,Amazing movie with great visuals and acting.
Movie 957,Romance,Director A,18585678,22414617,4.7,Loved the characters and the storyline.
Movie 958,Action,Director B,9139465,235976817,6.6,A decent movie with good direction.
Movie 959,Comedy,Director C,42479541,171996735,8,Amazing movie with great visuals and acting.
Movie 960,Comedy,Director A,28245094,126172773,5.8,Terrible plot and boring scenes.
Movie 961,Thriller,Director A,26262353,88358182,3.7,Terrible plot and boring scenes.
Movie 962,Thriller,Director A,41290438,187502750,9.3,Amazing movie with great visuals and acting.
Movie 963,Thriller,Director D,34135262,172220619,8,Loved the characters and the storyline.
Movie 964,Comedy,Director C,15530798,20922104,7.7,Amazing movie with great visuals and acting.
Movie 965,Action,Director C,35618565,245135710,7.8,A decent movie with good direction.
Movie 966,Action,Director D,59954141,15660335,5,Loved the characters and the storyline.
Movie 967,Thriller,Director A,50431775,284709854,7.4,Terrible plot and boring scenes.
Movie 968,Comedy,Director B,46111586,112811085,4.8,Amazing movie with great visuals and acting.
Movie 969,Action,Director A,77773980,183482260,4.9,Terrible plot and boring scenes.
Movie 970,Romance,Director A,77888697,219733681,8.4,"Not worth the time, poor screenplay."
Movie 971,Romance,Director D,89704846,160465645,8.2,Amazing movie with great visuals and acting.
Movie 972,Comedy,Director A,88186920,65503701,6.5,Terrible plot and boring scenes.
Movie 973,Action,Director A,40448517,216980510,4.1,Terrible plot and boring scenes.
Movie 974,Comedy,Director C,7449977,240987104,6.9,Terrible plot and boring scenes.
Movie 975,Romance,Director D,74107181,189651130,6,A decent movie with good direction.
Movie 976,Romance,Director B,6831505,52839016,8.7,Loved the characters and the storyline.
Movie 977,Action,Director C,63971245,174623911,6.5,Loved the characters and the storyline.
Movie 978,Romance,Director C,22484566,184666332,6.4,Terrible plot and boring scenes.
Movie 979,Romance,Director B,65176395,260883376,4,Amazing movie with great visuals and acting.
Movie 980,Romance,Director C,8766418,41783197,3.8,Loved the characters and the storyline.
Movie 981,Thriller,Director D,72241703,101713320,5.1,Amazing movie with great visuals and acting.
Movie 982,Romance,Director C,70783662,139538255,8.6,"Not worth the time, poor screenplay."
Movie 983,Thriller,Director B,30175505,285990601,6,Amazing movie with great visuals and acting.
Movie 984,Comedy,Director C,20955940,135519564,6.7,"Not worth the time, poor screenplay."
Movie 985,Horror,Director D,32561870,100888176,6.2,A decent movie with good direction.
Movie 986,Action,Director B,33934459,41422809,9,Terrible plot and boring scenes.
Movie 987,Comedy,Director A,97380541,299600525,5.7,"Not worth the time, poor screenplay."
Movie 988,Drama,Director A,66360094,109605945,9.2,A decent movie with good direction.
Movie 989,Action,Director D,23774192,81744148,9.1,Amazing movie with great visuals and acting.
Movie 990,Drama,Director D,99629160,96059904,8.5,A decent movie with good direction.
Movie 991,Thriller,Director C,86894224,64062294,6.7,A decent movie with good direction.
Movie 992,Drama,Director C,20773728,34723533,5.3,Amazing movie with great visuals and acting.
Movie 993,Drama,Director A,91846940,220064082,5,Loved the characters and the storyline.
Movie 994,Comedy,Director C,45423218,279094471,8.6,Terrible plot and boring scenes.
Movie 995,Comedy,Director D,34609813,152915623,3.9,Amazing movie with great visuals and acting.
Movie 996,Comedy,Director A,84401776,55602455,3.9,Terrible plot and boring scenes.
Movie 997,Romance,Director C,54318172,3836477,5.5,Loved the characters and the storyline.
Movie 998,Horror,Director B,24926912,141455986,6.3,A decent movie with good direction.
Movie 999,Action,Director B,94591489,211490348,9.3,Terrible plot and boring scenes.
Movie 1000,Horror,Director B,24931409,54550865,3.7,Loved the characters and the storyline.
